05267,Габрово,Габрово,с. Болтата
05270,Пловдив,Раковски,с. Болярино
05284,Ямбол,Болярово,гр. Болярово
05298,Хасково,Харманли,с. Болярски извор
05308,Ямбол,Тунджа,с. Болярско
05311,Варна,Аврен,с. Болярци
05325,Кърджали,Кърджали,с. Болярци
05339,Пловдив,Садово,с. Болярци
05342,Добрич,Тервел,с. Бонево
05356,Пловдив,Брезово,с. Борец
05365,Смолян,Рудозем,с. Борие
05387,Смолян,Мадан,с. Борика
05390,София,Ихтиман,с. Борика
05400,Габрово,Габрово,с. Борики
05414,Смолян,Смолян,с. Бориково
05428,Видин,Бойница,с. Бориловец
05431,Стара Загора,Стара Загора,с. Борилово
05445,Ловеч,Троян,с. Борима
05459,Пазарджик,Лесичово,с. Боримечково
05462,Смолян,Борино,с. Борино
05476,Смолян,Мадан,с. Бориново
05480,Сливен,Котел,с. Боринци
05493,Плевен,Пордим,с. Борислав
05503,Хасково,Маджарово,с. Бориславци
05517,Русе,Сливо поле,с. Борисово
05520,Ямбол,Елхово,с. Борисово
05534,Перник,Радомир,с. Борнарево
05548,Враца,Борован,с. Борован
05551,Сливен,Твърдица,с. Боров дол
05565,Кюстендил,Кочериново,с. Боровец
05579,Смолян,Мадан,с. Боровина
05582,Видин,Белоградчик,с. Боровица
05596,Благоевград,Петрич,с. Боровичене
05606,Благоевград,Гоце Делчев,с. Борово
05611,Русе,Борово,гр. Борово
05623,Пловдив,Лъки,с. Борово
05637,Стара Загора,Стара Загора,с. Борово
05640,Кърджали,Черноочене,с. Боровско
05654,Монтана,Берковица,с. Боровци
05668,Габрово,Габрово,с. Борското
05671,Стара Загора,Мъглиж,с. Борущица
05685,Шумен,Венец,с. Борци
05699,Варна,Дългопол,с. Боряна
05709,Велико Търново,Елена,с. Босевци
05712,Кърджали,Черноочене,с. Босилица
05726,Бургас,Сунгурларе,с. Босилково
05737,Смолян,Баните,с. Босилково
05743,Русе,Бяла,с. Босилковци
05757,Силистра,Ситово,с. Босна
05760,Перник,Перник,с. Боснек
05791,Кърджали,Черноочене,с. Бостанци
05801,Смолян,Смолян,с. Бостина
05815,София,Ботевград,гр. Ботевград
05829,Варна,Аксаково,с. Ботево
05832,Видин,Видин,с. Ботево
05846,Враца,Хайредин,с. Ботево
05852,Монтана,Вълчедръм,с. Ботево
05863,Ямбол,Тунджа,с. Ботево
05877,Русе,Бяла,с. Ботров
05894,Враца,Криводол,с. Ботуня
05904,Хасково,Ивайловград,с. Ботурче
05918,Перник,Трън,с. Бохова
05921,Плевен,Плевен,с. Бохот
05935,Велико Търново,Велико Търново,с. Бочковци
05949,Пазарджик,Септември,с. Бошуля
05952,Ямбол,Тунджа,с. Бояджик
05966,Шумен,Венец,с. Боян
05978,Варна,Вълчи дол,с. Бояна
05983,Хасково,Минерални бани,с. Боян Ботево
05997,Видин,Грамада,с. Бояново
06001,Ямбол,Елхово,с. Бояново
06015,Велико Търново,Велико Търново,с. Бояновци
06029,Пловдив,Асеновград,с. Боянци
06032,Силистра,Силистра,с. Брадвари
06046,Търговище,Попово,с. Бракница
06050,София,Годеч,с. Бракьовци
06077,Пловдив,Родопи,с. Браниполе
06080,Хасково,Харманли,с. Браница
06094,Шумен,Каолиново,с. Браничево
06104,Добрич,Добрич-селска,с. Бранище
06118,Велико Търново,Велико Търново,с. Бранковци
06121,Видин,Грамада,с. Бранковци
06135,Сливен,Котел,с. Братан
06149,Пазарджик,Пазарджик,с. Братаница
06152,Бургас,Бургас,с. Братово
06166,Търговище,Търговище,с. Братово
06175,София,Сливница,с. Братушково
06183,Стара Загора,Братя Даскалови,с. Братя Даскалови
06197,Стара Загора,Стара Загора,с. Братя Кунчеви
06207,Пазарджик,Брацигово,гр. Брацигово
